Epoch: 72 | tr_loss: 843.7859 | val_loss: 866.8073 | lr: 4.85e-04
Epoch: 73 | tr_loss: 840.4760 | val_loss: 856.3888 | lr: 4.80e-04
Epoch: 74 | tr_loss: 840.1576 | val_loss: 858.4774 | lr: 4.75e-04
Epoch: 75 | tr_loss: 833.9399 | val_loss: 861.8802 | lr: 4.71e-04
Epoch: 76 | tr_loss: 840.7693 | val_loss: 860.5717 | lr: 4.66e-04
Epoch: 77 | tr_loss: 839.7550 | val_loss: 869.8902 | lr: 4.61e-04
Epoch: 78 | tr_loss: 832.4625 | val_loss: 858.4486 | lr: 4.57e-04
Epoch: 79 | tr_loss: 838.4048 | val_loss: 847.9115 | lr: 4.52e-04
Epoch: 80 | tr_loss: 839.4969 | val_loss: 848.2338 | lr: 4.48e-04
Epoch: 81 | tr_loss: 838.0290 | val_loss: 849.7149 | lr: 4.43e-04
Epoch: 82 | tr_loss: 838.9766 | val_loss: 866.9674 | lr: 4.39e-04
Epoch: 83 | tr_loss: 835.3113 | val_loss: 857.4022 | lr: 4.34e-04
Epoch: 84 | tr_loss: 838.6874 | val_loss: 861.4876 | lr: 4.30e-04
Epoch: 85 | tr_loss: 835.3546 | val_loss: 869.1524 | lr: 4.26e-04
Epoch: 86 | tr_loss: 835.7237 | val_loss: 841.1154 | lr: 4.21e-04
Epoch: 87 | tr_loss: 835.1578 | val_loss: 864.5463 | lr: 4.17e-04
Epoch: 88 | tr_loss: 834.1728 | val_loss: 855.4375 | lr: 4.13e-04
Epoch: 89 | tr_loss: 840.2453 | val_loss: 858.9787 | lr: 4.09e-04
Epoch: 90 | tr_loss: 835.6376 | val_loss: 854.0669 | lr: 4.05e-04
Epoch: 91 | tr_loss: 838.8716 | val_loss: 864.1947 | lr: 4.01e-04
Epoch: 92 | tr_loss: 836.9162 | val_loss: 862.4686 | lr: 3.97e-04
Epoch: 93 | tr_loss: 835.0082 | val_loss: 859.8602 | lr: 3.93e-04
Epoch: 94 | tr_loss: 837.6687 | val_loss: 854.6417 | lr: 3.89e-04
Epoch: 95 | tr_loss: 838.1075 | val_loss: 868.6430 | lr: 3.85e-04
Epoch: 96 | tr_loss: 832.4270 | val_loss: 860.1508 | lr: 3.81e-04
Epoch: 97 | tr_loss: 837.7682 | val_loss: 866.2370 | lr: 3.77e-04
Epoch: 98 | tr_loss: 836.7845 | val_loss: 860.9325 | lr: 3.73e-04
Epoch: 99 | tr_loss: 834.8380 | val_loss: 850.2826 | lr: 3.70e-04
Epoch: 100 | tr_loss: 836.3865 | val_loss: 848.9976 | lr: 3.66e-04
Epoch: 101 | tr_loss: 835.3511 | val_loss: 865.0231 | lr: 3.62e-04
